Fecha,TIIE
03/01/2022,5.715
04/01/2022,5.7175
05/01/2022,5.7165
06/01/2022,5.718
07/01/2022,5.7185
10/01/2022,5.719
11/01/2022,5.719
12/01/2022,5.721
13/01/2022,5.7225
14/01/2022,5.7225
17/01/2022,5.7215
18/01/2022,5.722
19/01/2022,5.7225
20/01/2022,5.7262
21/01/2022,5.728
24/01/2022,5.7277
25/01/2022,5.7298
26/01/2022,5.7319
27/01/2022,5.733
28/01/2022,5.733
31/01/2022,5.734
01/02/2022,5.7365
02/02/2022,5.738
03/02/2022,5.739
04/02/2022,5.7415
08/02/2022,5.742
09/02/2022,5.745
10/02/2022,5.745
11/02/2022,5.7537
14/02/2022,6.2012
15/02/2022,6.2256
16/02/2022,6.2325
17/02/2022,6.2375
18/02/2022,6.2325
21/02/2022,6.2275
22/02/2022,6.225
23/02/2022,6.225
24/02/2022,6.221
25/02/2022,6.228
28/02/2022,6.234
01/03/2022,6.2367
02/03/2022,6.2395
03/03/2022,6.241
04/03/2022,6.2362
07/03/2022,6.2315
08/03/2022,6.23
09/03/2022,6.23
10/03/2022,6.235
11/03/2022,6.2375
14/03/2022,6.2375
15/03/2022,6.2425
16/03/2022,6.2487
17/03/2022,6.2523
18/03/2022,6.26
22/03/2022,6.2625
23/03/2022,6.275
24/03/2022,6.2825
25/03/2022,6.2912
28/03/2022,6.7175
29/03/2022,6.7237
30/03/2022,6.7265
31/03/2022,6.7265
01/04/2022,6.7225
04/04/2022,6.721
05/04/2022,6.7225
06/04/2022,6.721
07/04/2022,6.7255
08/04/2022,6.7277
11/04/2022,6.7285
12/04/2022,6.726
13/04/2022,6.73
18/04/2022,6.7345
19/04/2022,6.737
20/04/2022,6.7304
21/04/2022,6.73
22/04/2022,6.735
25/04/2022,6.7325
26/04/2022,6.74
27/04/2022,6.745
28/04/2022,6.745
29/04/2022,6.7506
02/05/2022,6.7525
03/05/2022,6.757
04/05/2022,6.7556
05/05/2022,6.7603
06/05/2022,6.765
09/05/2022,6.765
10/05/2022,6.7725
11/05/2022,6.795
12/05/2022,6.8075
13/05/2022,6.8199
16/05/2022,7.235
17/05/2022,7.218
18/05/2022,7.2087
19/05/2022,7.205
20/05/2022,7.203
23/05/2022,7.202
24/05/2022,7.2075
25/05/2022,7.2187
26/05/2022,7.2107
27/05/2022,7.207
30/05/2022,7.215
31/05/2022,7.2225
01/06/2022,7.225
02/06/2022,7.23
03/06/2022,7.2355
06/06/2022,7.2335
07/06/2022,7.242
08/06/2022,7.2465
09/06/2022,7.2627
10/06/2022,7.267
13/06/2022,7.2715
14/06/2022,7.28
15/06/2022,7.2855
16/06/2022,7.3025
17/06/2022,7.3225
20/06/2022,7.33
21/06/2022,7.3375
22/06/2022,7.355
23/06/2022,7.3775
24/06/2022,7.3913
27/06/2022,8.0125
28/06/2022,8.018
29/06/2022,8.0255
30/06/2022,8.0245
01/07/2022,8.0303
04/07/2022,8.032
05/07/2022,8.025
06/07/2022,8.0303
07/07/2022,8.032
08/07/2022,8.03
11/07/2022,8.0315
12/07/2022,8.0375
13/07/2022,8.03
14/07/2022,8.0365
15/07/2022,8.035
18/07/2022,8.0245
19/07/2022,8.02
20/07/2022,8.03
21/07/2022,8.04
22/07/2022,8.045
25/07/2022,8.0445
26/07/2022,8.044
27/07/2022,8.05
28/07/2022,8.06
29/07/2022,8.075
01/08/2022,8.08
02/08/2022,8.0912
03/08/2022,8.105
04/08/2022,8.1074
05/08/2022,8.1187
08/08/2022,8.119
09/08/2022,8.1225
10/08/2022,8.1312
11/08/2022,8.1624
12/08/2022,8.1787
15/08/2022,8.775
16/08/2022,8.7612
17/08/2022,8.7706
18/08/2022,8.768
19/08/2022,8.7728
22/08/2022,8.7763
23/08/2022,8.781
24/08/2022,8.783
25/08/2022,8.8
26/08/2022,8.808
29/08/2022,8.812
30/08/2022,8.8148
31/08/2022,8.8163
01/09/2022,8.821
02/09/2022,8.8235
05/09/2022,8.82
06/09/2022,8.8177
07/09/2022,8.8196
08/09/2022,8.835
09/09/2022,8.843
12/09/2022,8.8527
13/09/2022,8.8599
14/09/2022,8.8699
15/09/2022,8.8787
19/09/2022,8.8912
20/09/2022,8.9006
21/09/2022,8.915
22/09/2022,8.9275
23/09/2022,8.9395
26/09/2022,8.9509
27/09/2022,8.9585
28/09/2022,8.9792
29/09/2022,8.9896
30/09/2022,9.02
03/10/2022,9.535
04/10/2022,9.5366
05/10/2022,9.5453
06/10/2022,9.5515
07/10/2022,9.5451
10/10/2022,9.5465
11/10/2022,9.545
12/10/2022,9.5515
13/10/2022,9.5595
14/10/2022,9.5635
17/10/2022,9.5655
18/10/2022,9.5665
19/10/2022,9.567
20/10/2022,9.5663
21/10/2022,9.567
24/10/2022,9.5675
25/10/2022,9.575
26/10/2022,9.584
27/10/2022,9.591
28/10/2022,9.59
31/10/2022,9.594
01/11/2022,9.596
03/11/2022,9.597
04/11/2022,9.606
07/11/2022,9.612
