Periodos,IGAE
1993-01-01,60.40769086
1993-02-01,61.02252106
1993-03-01,63.94324936
1993-04-01,61.86598396
1993-05-01,63.61289973
1993-06-01,62.88258738
1993-07-01,62.79795336
1993-08-01,62.02788631
1993-09-01,62.01833687
1993-10-11,62.83480112
1993-11-11,63.6217709
1993-12-11,66.12119267
1994-01-01,63.0292681
1994-02-01,62.73315589
1994-03-01,65.79027457
1994-04-01,65.89171611
1994-05-01,66.8588023
1994-06-01,66.63579091
1994-07-01,64.70206224
1994-08-01,65.79634346
1994-09-01,65.76477448
1994-10-11,66.73068481
1994-11-11,67.84687403
1994-12-11,68.06744038
1995-01-01,65.1023361
1995-02-01,60.29418969
1995-03-01,62.92986528
1995-04-01,59.2390871
1995-05-01,61.1767744
1995-06-01,61.08234157
1995-07-01,59.77916962
1995-08-01,61.06820428
1995-09-01,60.84771988
1995-10-11,60.21824329
1995-11-11,63.0601993
1995-12-11,65.41345892
1996-01-01,64.59735912
1996-02-01,63.25033366
1996-03-01,65.00435442
1996-04-01,63.8220199
1996-05-01,66.56895891
1996-06-01,65.57816672
1996-07-01,65.91223071
1996-08-01,65.36457339
1996-09-01,65.03774493
1996-10-11,67.82463933
1996-11-11,68.55904156
1996-12-11,69.26845104
1997-01-01,67.92226404
1997-02-01,66.01571884
1997-03-01,67.08871365
1997-04-01,70.18938746
1997-05-01,71.25363161
1997-06-01,70.71757442
1997-07-01,70.48390145
1997-08-01,70.02845054
1997-09-01,70.75158476
1997-10-11,73.23727855
1997-11-11,72.75789249
1997-12-11,73.78043868
1998-01-01,72.28125025
1998-02-01,71.26763982
1998-03-01,75.30751296
1998-04-01,72.95237567
1998-05-01,75.13801507
1998-06-01,74.64518739
1998-07-01,74.61446188
1998-08-01,73.4792498
1998-09-01,73.76731713
1998-10-11,74.46417987
1998-11-11,74.44344023
1998-12-11,75.67735182
1999-01-01,74.28380696
1999-02-01,72.70940159
1999-03-01,76.99210855
1999-04-01,74.32922748
1999-05-01,76.92304154
1999-06-01,76.55674514
1999-07-01,76.31262484
1999-08-01,75.67001379
1999-09-01,76.24775268
1999-10-11,76.4546544
1999-11-11,77.67013199
1999-12-11,78.05346844
2000-01-02,77.93002889
2000-02-02,77.36731614
2000-03-02,80.35795014
2000-04-02,77.00756382
2000-05-02,82.34330513
2000-06-02,81.54154492
